data;preco_rs;preco_usd;produto
2020-10-23;164,23;29,18;soja
2020-10-26;164,73;29,28;soja
2020-10-27;166,57;29,36;soja
2020-10-28;164,34;28,62;soja
2020-10-29;163,82;28,49;soja
2020-10-30;163,54;28,45;soja
2020-11-03;165,26;28,74;soja
2020-11-04;168,53;29,77;soja
2020-11-05;168,97;30,46;soja
2020-11-06;169,76;31,51;soja
2020-11-09;163,28;30,16;soja
2020-11-10;169,44;31,5;soja
2020-11-11;170,97;31,58;soja
2020-11-12;162,27;29,69;soja
2020-11-13;165,27;30,18;soja
2020-11-16;164,72;30,32;soja
2020-11-17;165,47;31,0;soja
2020-11-18;165,59;30,98;soja
2020-11-19;163,96;30,87;soja
2020-11-20;163,62;30,46;soja
2020-11-23;162,96;29,97;soja
2020-11-24;161,92;30,07;soja
2020-11-25;162,54;30,56;soja
2020-11-26;161,24;30,25;soja
2020-11-27;162,31;30,46;soja
2020-11-30;161,77;30,22;soja
2020-12-01;160,67;30,7;soja
2020-12-02;157,44;30,02;soja
2020-12-03;157,78;30,72;soja
2020-12-04;152,5;29,74;soja
2020-12-07;154,42;30,39;soja
2020-12-08;149,02;29,06;soja
2020-12-09;155,45;29,99;soja
2020-12-10;152,26;30,23;soja
2020-12-11;147,31;29,15;soja
2020-12-14;151,4;29,63;soja
2020-12-15;152,76;30,02;soja
2020-12-16;150,35;29,33;soja
2020-12-17;150,99;29,75;soja
2020-12-18;151,15;29,71;soja
2020-12-21;150,98;29,47;soja
2020-12-22;150,93;29,22;soja
2020-12-23;150,91;29,03;soja
2020-12-28;149,98;28,63;soja
2020-12-29;151,05;29,14;soja
2020-12-30;153,9;29,68;soja
2021-01-04;154,7;29,4;soja
2021-01-05;162,75;30,92;soja
2021-01-06;164,84;31,2;soja
2021-01-07;163,85;30,42;soja
2021-01-08;165,61;30,58;soja
2021-01-11;168,51;30,69;soja
2021-01-12;170,72;32,01;soja
2021-01-13;170,68;32,2;soja
2021-01-14;170,08;32,69;soja
2021-01-15;169,66;32,1;soja
2021-01-18;170,72;32,26;soja
2021-01-19;171,29;32,02;soja
2021-01-20;168,79;31,73;soja
2021-01-21;170,11;31,76;soja
2021-01-22;169,11;30,91;soja
2021-01-25;169,69;30,81;soja
2021-01-26;169,14;31,75;soja
2021-01-27;169,15;31,34;soja
2021-01-28;169,6;31,2;soja
2021-01-29;168,3;30,69;soja
2021-02-01;168,65;30,94;soja
2021-02-02;168,47;31,44;soja
2021-02-03;166,12;30,98;soja
2021-02-04;167,67;30,74;soja
2021-02-05;166,36;30,89;soja
2021-02-08;168,91;31,44;soja
2021-02-09;169,4;31,47;soja
2021-02-10;167,39;31,12;soja
2021-02-11;165,62;30,72;soja
2021-02-12;165,73;30,82;soja
2021-02-17;164,0;30,26;soja
2021-02-18;163,7;30,09;soja
2021-02-19;162,96;30,14;soja
2021-02-22;163,94;30,13;soja
2021-02-23;165,95;30,44;soja
2021-02-24;165,84;30,52;soja
2021-02-25;166,74;30,28;soja
2021-02-26;167,45;30,0;soja
2021-03-01;168,96;30,18;soja
2021-03-02;171,34;30,24;soja
2021-03-03;172,36;29,97;soja
2021-03-04;171,98;30,37;soja
2021-03-05;174,34;30,62;soja
2021-03-08;178,03;30,86;soja
2021-03-09;179,3;30,97;soja
2021-03-10;177,23;31,33;soja
2021-03-11;171,32;30,95;soja
2021-03-12;169,71;30,5;soja
2021-03-15;170,84;30,26;soja
2021-03-16;170,54;30,39;soja
2021-03-17;171,11;30,65;soja
2021-03-18;169,79;30,54;soja
2021-03-19;168,17;30,64;soja
2021-03-22;168,32;30,53;soja
2021-03-23;168,78;30,61;soja
2021-03-24;170,15;30,31;soja
2021-03-25;170,99;30,17;soja
2021-03-26;172,05;29,94;soja
2021-03-29;172,68;29,94;soja
2021-03-30;171,64;29,87;soja
2021-03-31;173,3;30,82;soja
2021-04-01;173,86;30,47;soja
2021-04-05;172,84;30,47;soja
2021-04-06;173,65;31,02;soja
2021-04-07;172,52;30,54;soja
2021-04-08;172,63;30,98;soja
2021-04-09;174,71;30,77;soja
2021-04-12;173,52;30,31;soja
2021-04-13;175,17;30,73;soja
2021-04-14;176,19;31,05;soja
2021-04-15;175,74;31,25;soja
2021-04-16;177,94;31,86;soja
2021-04-19;178,61;32,11;soja
2021-04-20;179,32;32,27;soja
2021-04-22;181,2;33,17;soja
2021-04-23;180,96;32,93;soja
2021-04-26;182,86;33,5;soja
2021-04-27;183,02;33,49;soja
2021-04-28;180,06;33,57;soja
2021-04-29;177,44;33,14;soja
2021-04-30;179,72;33,07;soja
2021-05-03;177,12;32,67;soja
2021-05-04;180,59;33,24;soja
2021-05-05;180,37;33,61;soja
2021-05-06;178,51;33,8;soja
2021-05-07;177,51;33,99;soja
2021-05-10;177,23;33,88;soja
2021-05-11;179,28;34,32;soja
2021-05-12;182,97;34,55;soja
2021-05-13;178,27;33,64;soja
2021-05-14;176,84;33,56;soja
2021-05-17;176,54;33,52;soja
2021-05-18;176,38;33,62;soja
2021-05-19;174,08;32,75;soja
2021-05-20;173,91;32,98;soja
2021-05-21;173,01;32,35;soja
2021-05-24;173,55;32,61;soja
2021-05-25;174,28;32,66;soja
2021-05-26;173,75;32,73;soja
2021-05-27;173,77;33,08;soja
2021-05-28;173,35;33,22;soja
2021-05-31;172,96;33,1;soja
2021-06-01;173,99;33,75;soja
2021-06-02;172,8;33,93;soja
2021-06-04;173,21;34,4;soja
2021-06-07;174,1;34,57;soja
2021-06-08;173,45;34,43;soja
2021-06-09;171,82;33,89;soja
2021-06-10;170,63;33,7;soja
2021-06-11;169,41;33,09;soja
2021-06-14;166,65;32,86;soja
2021-06-15;164,45;32,61;soja
2021-06-16;161,32;31,98;soja
2021-06-17;156,86;31,22;soja
2021-06-18;153,43;30,26;soja
2021-06-21;154,8;30,82;soja
2021-06-22;155,02;31,23;soja
2021-06-23;152,67;30,75;soja
2021-06-24;149,28;30,43;soja
2021-06-25;148,74;30,04;soja
2021-06-28;151,1;30,67;soja
2021-06-29;151,74;30,73;soja
2021-06-30;158,12;31,8;soja
2021-07-01;163,81;32,45;soja
2021-07-02;164,28;32,54;soja
2021-07-05;163,71;32,21;soja
2021-07-06;162,13;31,18;soja
2021-07-07;164,08;31,35;soja
2021-07-08;166,31;31,65;soja
2021-07-09;165,02;31,5;soja
2021-07-12;165,83;32,08;soja
2021-07-13;167,62;32,42;soja
2021-07-14;168,72;33,27;soja
2021-07-15;168,9;32,96;soja
2021-07-16;170,39;33,28;soja
2021-07-19;170,89;32,51;soja
2021-07-20;172,01;32,96;soja
2021-07-21;173,11;33,4;soja
2021-07-22;168,86;32,42;soja
2021-07-23;169,07;32,41;soja
2021-07-26;167,95;32,45;soja
2021-07-27;169,25;32,69;soja
2021-07-28;168,69;32,99;soja
2021-07-29;168,45;33,18;soja
2021-07-30;168,05;32,34;soja
2021-08-02;167,41;32,42;soja
2021-08-03;168,99;32,6;soja
2021-08-04;168,58;32,49;soja
2021-08-05;167,79;32,25;soja
2021-08-06;170,03;32,44;soja
2021-08-09;170,22;32,5;soja
2021-08-10;170,68;32,84;soja
2021-08-11;170,39;32,59;soja
2021-08-12;170,31;32,41;soja
2021-08-13;172,19;32,84;soja
2021-08-16;173,75;32,87;soja
2021-08-17;174,88;33,2;soja
2021-08-18;175,83;32,8;soja
2021-08-19;175,68;32,44;soja
2021-08-20;174,94;32,53;soja
2021-08-23;172,57;32,12;soja
2021-08-24;171,86;32,68;soja
2021-08-25;170,99;32,82;soja
2021-08-26;171,19;32,61;soja
2021-08-27;169,53;32,63;soja
2021-08-30;168,51;32,49;soja
2021-08-31;166,95;32,26;soja
2021-09-01;165,84;32,05;soja
2021-09-02;167,12;32,23;soja
2021-09-03;170,42;32,87;soja
2021-09-06;169,07;32,67;soja
2021-09-08;172,02;32,38;soja
2021-09-09;172,7;32,54;soja
2021-09-10;173,42;32,93;soja
2021-09-13;171,98;32,88;soja
2021-09-14;173,43;32,96;soja
2021-09-15;175,24;33,43;soja
2021-09-16;175,95;33,36;soja
2021-09-17;175,44;33,21;soja
2021-09-20;173,64;32,45;soja
2021-09-21;172,02;32,57;soja
2021-09-22;172,43;32,53;soja
2021-09-23;173,12;32,61;soja
2021-09-24;173,73;32,5;soja
2021-09-27;173,85;32,31;soja
2021-09-28;174,99;32,23;soja
2021-09-29;175,42;32,33;soja
2021-09-30;175,59;32,3;soja
2021-10-01;170,95;31,88;soja
2021-10-04;169,69;31,12;soja
2021-10-05;170,7;31,21;soja
2021-10-06;172,58;31,45;soja
2021-10-07;171,21;31,11;soja
2021-10-08;172,52;31,31;soja
2021-10-11;171,78;31,05;soja
2021-10-13;168,3;30,54;soja
2021-10-14;167,68;30,38;soja
2021-10-15;168,55;30,87;soja
2021-10-18;168,55;30,57;soja
2021-10-19;169,89;30,41;soja
2021-10-20;172,99;31,19;soja
2021-10-21;174,69;30,9;soja
2021-10-22;174,62;30,96;soja
2021-10-25;171,97;31,01;soja
2021-10-26;171,58;30,82;soja
2021-10-27;171,79;30,84;soja
2021-10-28;172,17;30,59;soja
2021-10-29;171,13;30,3;soja
2021-11-01;171,21;30,19;soja
2021-11-03;168,17;30,06;soja
2021-11-04;165,21;29,42;soja
2021-11-05;162,72;29,53;soja
2021-11-08;161,0;29,01;soja
2021-11-09;160,48;29,27;soja
2021-11-10;159,93;29,11;soja
2021-11-11;158,88;29,43;soja
2021-11-12;159,17;29,18;soja
2021-11-16;163,71;29,81;soja
2021-11-17;166,1;30,06;soja
2021-11-18;167,78;30,13;soja
2021-11-19;167,72;29,93;soja
2021-11-22;169,82;30,38;soja
2021-11-23;172,05;30,68;soja
2021-11-24;170,19;30,43;soja
2021-11-25;170,58;30,66;soja
2021-11-26;166,3;29,7;soja
2021-11-29;168,09;29,94;soja
2021-11-30;166,76;29,53;soja
2021-12-01;166,71;29,43;soja
2021-12-02;167,55;29,64;soja
2021-12-03;170,56;30,04;soja
2021-12-06;168,21;29,58;soja
2021-12-07;167,79;29,87;soja
2021-12-08;165,97;29,97;soja
2021-12-09;165,16;29,6;soja
2021-12-10;166,05;29,58;soja
2021-12-13;165,93;29,25;soja
2021-12-14;166,35;29,23;soja
2021-12-15;169,04;29,54;soja
2021-12-16;171,26;30,18;soja
2021-12-17;171,42;30,17;soja
2021-12-20;171,53;29,89;soja
2021-12-21;171,7;29,93;soja
2021-12-22;174,59;30,79;soja
2021-12-23;174,44;30,8;soja
2021-12-27;176,06;31,24;soja
2021-12-28;176,21;31,26;soja
2021-12-29;176,42;30,98;soja
2021-12-30;172,34;30,91;soja
2022-01-03;174,91;30,9;soja
2022-01-04;179,13;31,5;soja
2022-01-05;182,14;32,16;soja
2022-01-06;180,62;31,77;soja
2022-01-07;180,7;32,08;soja
2022-01-10;180,66;31,85;soja
2022-01-11;180,27;32,31;soja
2022-01-12;178,3;32,21;soja
2022-01-13;177,41;32,15;soja
2022-01-14;176,56;31,97;soja
2022-01-17;176,72;31,99;soja
2022-01-18;176,16;31,71;soja
2022-01-19;176,86;32,37;soja
2022-01-20;179,39;33,15;soja
2022-01-21;180,15;33,01;soja
2022-01-24;179,47;32,61;soja
2022-01-25;179,73;33,04;soja
2022-01-26;184,22;34,07;soja
2022-01-27;181,48;33,44;soja
2022-01-28;183,8;34,08;soja
2022-01-31;184,29;34,75;soja
2022-02-01;188,67;35,8;soja
2022-02-02;192,71;36,46;soja
2022-02-03;191,98;36,27;soja
2022-02-04;193,36;36,3;soja
2022-02-07;197,85;37,61;soja
2022-02-08;196,56;37,4;soja
2022-02-09;197,19;37,78;soja
2022-02-10;198,33;37,95;soja
2022-02-11;195,85;37,48;soja
2022-02-14;191,08;36,63;soja
2022-02-15;189,54;36,58;soja
2022-02-16;189,59;36,97;soja
2022-02-17;195,11;37,75;soja
2022-02-18;195,9;38,13;soja
2022-02-21;196,27;38,44;soja
2022-02-22;195,45;38,59;soja
2022-02-23;199,92;39,96;soja
2022-02-24;201,35;39,35;soja
2022-02-25;198,67;38,61;soja
2022-03-02;203,2;39,76;soja
2022-03-03;202,9;40,39;soja
2022-03-04;203,62;40,09;soja
2022-03-07;203,18;40,0;soja
2022-03-08;206,99;40,94;soja
2022-03-09;206,04;41,12;soja
2022-03-10;207,14;41,28;soja
2022-03-11;203,15;40,21;soja
2022-03-14;204,36;39,84;soja
2022-03-15;202,41;39,27;soja
2022-03-16;203,31;39,83;soja
2022-03-17;203,85;40,46;soja
2022-03-18;202,01;40,29;soja
2022-03-21;201,54;40,7;soja
2022-03-22;201,04;40,87;soja
2022-03-23;198,52;41,03;soja
2022-03-24;197,14;40,84;soja
2022-03-25;193,27;40,68;soja
2022-03-28;189,94;39,82;soja
2022-03-29;185,2;38,9;soja
2022-03-30;186,19;38,94;soja
2022-03-31;186,25;39,12;soja
2022-04-01;178,54;38,24;soja
2022-04-04;174,46;37,83;soja
2022-04-05;176,84;37,97;soja
2022-04-06;178,84;37,89;soja
2022-04-07;182,22;38,4;soja
2022-04-08;184,13;39,13;soja
2022-04-11;182,66;39,01;soja
2022-04-12;183,39;39,2;soja
2022-04-13;183,65;39,19;soja
2022-04-14;186,68;39,79;soja
2022-04-18;186,73;40,09;soja
2022-04-19;186,75;39,96;soja
2022-04-20;186,67;40,36;soja
2022-04-22;192,57;40,14;soja
2022-04-25;193,63;39,73;soja
2022-04-26;195,55;39,19;soja
2022-04-27;195,45;39,37;soja
2022-04-28;196,88;39,87;soja
2022-04-29;195,24;39,46;soja
2022-05-02;194,81;38,45;soja
2022-05-03;192,94;38,86;soja
2022-05-04;190,98;38,89;soja
2022-05-05;193,51;38,48;soja
2022-05-06;193,91;38,22;soja
2022-05-09;192,02;37,24;soja
2022-05-10;192,11;37,48;soja
2022-05-11;192,45;37,46;soja
2022-05-12;194,58;37,81;soja
2022-05-13;196,26;38,83;soja
2022-05-16;196,84;39,02;soja
2022-05-17;196,37;39,74;soja
2022-05-18;195,36;39,17;soja
2022-05-19;194,9;39,66;soja
2022-05-20;195,46;40,14;soja
2022-05-23;191,68;39,83;soja
2022-05-24;191,28;39,68;soja
2022-05-25;191,13;39,73;soja
2022-05-26;192,44;40,42;soja
2022-05-27;192,98;40,73;soja
2022-05-30;192,32;40,48;soja
2022-05-31;190,05;40,0;soja
2022-06-01;189,89;39,57;soja
2022-06-02;193,64;40,39;soja
2022-06-03;192,1;40,15;soja
2022-06-06;190,77;39,73;soja
2022-06-07;194,27;39,88;soja
2022-06-08;197,47;40,46;soja
2022-06-09;196,63;40,04;soja
2022-06-10;200,25;40,2;soja
2022-06-13;199,1;38,86;soja
2022-06-14;199,39;38,79;soja
2022-06-15;198,66;39,53;soja
2022-06-17;199,57;38,83;soja
2022-06-20;199,67;38,51;soja
2022-06-21;197,06;38,26;soja
2022-06-22;194,01;37,53;soja
2022-06-23;189,63;36,26;soja
2022-06-24;188,96;35,94;soja
2022-06-27;189,89;36,32;soja
2022-06-28;194,53;36,94;soja
2022-06-29;193,91;37,32;soja
2022-06-30;194,96;37,28;soja
2022-07-01;194,02;36,46;soja
2022-07-04;193,78;36,38;soja
2022-07-05;187,41;34,76;soja
2022-07-06;188,11;34,74;soja
2022-07-07;190,37;35,62;soja
2022-07-08;190,67;36,21;soja
2022-07-11;196,51;36,61;soja
2022-07-12;192,48;35,39;soja
2022-07-13;190,57;35,25;soja
2022-07-14;191,53;35,25;soja
2022-07-15;190,33;35,2;soja
2022-07-18;191,61;35,33;soja
2022-07-19;188,87;34,85;soja
2022-07-20;188,34;34,49;soja
2022-07-21;186,13;33,9;soja
2022-07-22;185,06;33,64;soja
2022-07-25;185,94;34,6;soja
2022-07-26;190,32;35,55;soja
2022-07-27;194,95;37,14;soja
2022-07-28;192,9;37,38;soja
2022-07-29;195,73;37,8;soja
2022-08-01;189,22;36,49;soja
2022-08-02;187,44;35,5;soja
2022-08-03;186,88;35,43;soja
2022-08-04;186,65;35,78;soja
2022-08-05;188,03;36,38;soja
2022-08-08;185,19;36,21;soja
2022-08-09;184,9;35,99;soja
2022-08-10;187,52;36,82;soja
2022-08-11;189,48;36,71;soja
2022-08-12;189,31;37,36;soja
2022-08-15;184,59;36,24;soja
2022-08-16;182,71;35,5;soja
2022-08-17;184,28;35,63;soja
2022-08-18;184,38;35,64;soja
2022-08-19;184,99;35,75;soja
2022-08-22;186,87;36,2;soja
2022-08-23;189,17;37,09;soja
2022-08-24;190,51;37,29;soja
2022-08-25;189,48;36,96;soja
2022-08-26;189,54;37,35;soja
2022-08-29;187,44;37,29;soja
2022-08-30;185,58;36,32;soja
2022-08-31;190,97;36,71;soja
2022-09-01;189,11;36,12;soja
2022-09-02;189,03;36,51;soja
2022-09-05;188,99;36,68;soja
2022-09-06;188,54;35,97;soja
2022-09-08;186,48;35,8;soja
2022-09-09;185,09;35,94;soja
2022-09-12;187,35;36,8;soja
2022-09-13;188,86;36,4;soja
2022-09-14;187,54;36,21;soja
2022-09-15;187,13;35,69;soja
2022-09-16;186,92;35,56;soja
2022-09-19;188,18;36,45;soja
2022-09-20;187,51;36,33;soja
2022-09-21;186,89;36,17;soja
2022-09-22;185,92;36,36;soja
2022-09-23;184,87;35,21;soja
2022-09-26;186,45;34,6;soja
2022-09-27;186,21;34,61;soja
2022-09-28;185,87;34,76;soja
2022-09-29;186,77;34,6;soja
2022-09-30;188,83;35,1;soja
2022-10-03;180,5;34,86;soja
2022-10-04;177,63;34,32;soja
2022-10-05;178,22;34,45;soja
2022-10-06;178,4;34,28;soja
2022-10-07;179,24;34,3;soja
2022-10-10;182,02;35,12;soja
2022-10-11;182,52;34,63;soja
2022-10-13;187,56;35,53;soja
2022-10-14;187,82;35,25;soja
2022-10-17;186,98;35,31;soja
2022-10-18;185,87;35,33;soja
2022-10-19;184,11;34,92;soja
2022-10-20;184,44;35,31;soja
2022-10-21;183,34;35,61;soja
2022-10-24;182,9;34,58;soja
2022-10-25;184,8;34,77;soja
2022-10-26;185,7;34,56;soja
2022-10-27;186,43;35,18;soja
2022-10-28;189,19;35,6;soja
2022-10-31;186,89;36,12;soja
2022-11-01;186,84;36,55;soja
2022-11-03;187,43;36,66;soja
2022-11-04;184,76;36,7;soja
2022-11-07;184,92;35,87;soja
2022-11-08;186,38;36,06;soja
2022-11-09;186,14;35,95;soja
2022-11-10;191,22;35,43;soja
2022-11-11;188,98;35,38;soja
2022-11-14;187,76;35,22;soja
2022-11-16;186,93;34,72;soja
2022-11-17;187,33;34,49;soja
2022-11-18;185,92;34,65;soja
2022-11-21;186,69;35,15;soja
2022-11-22;183,59;34,12;soja
2022-11-23;184,14;34,28;soja
2022-11-24;184,21;34,68;soja
2022-11-25;184,91;34,18;soja
2022-11-28;185,06;34,49;soja
2022-11-29;184,96;34,96;soja
2022-11-30;184,38;35,39;soja
2022-12-01;180,65;34,71;soja
2022-12-02;178,53;34,19;soja
2022-12-05;181,54;34,38;soja
2022-12-06;184,5;35,02;soja
2022-12-07;181,23;34,79;soja
2022-12-08;182,84;35,08;soja
2022-12-09;183,87;35,09;soja
2022-12-12;183,16;34,4;soja
2022-12-13;182,54;34,34;soja
2022-12-14;182,95;34,38;soja
2022-12-15;183,22;34,43;soja
2022-12-16;182,88;34,52;soja
2022-12-19;182,74;34,43;soja
2022-12-20;180,64;34,69;soja
2022-12-21;179,76;34,59;soja
2022-12-22;178,71;34,52;soja
2022-12-23;181,11;35,07;soja
2022-12-26;183,25;35,19;soja
2022-12-27;181,07;34,27;soja
2022-12-28;183,5;34,93;soja
2022-12-29;184,43;34,93;soja
2023-01-02;183,56;34,25;soja
2023-01-03;184,0;33,77;soja
2023-01-04;184,68;33,86;soja
2023-01-05;182,59;34,05;soja
2023-01-06;179,26;34,19;soja
2023-01-09;178,76;34,02;soja
2023-01-10;177,54;34,13;soja
2023-01-11;176,65;34,06;soja
2023-01-12;177,43;34,83;soja
2023-01-13;176,97;34,74;soja
2023-01-16;176,56;34,28;soja
2023-01-17;176,78;34,61;soja
2023-01-18;177,07;34,32;soja
2023-01-19;176,93;34,19;soja
2023-01-20;176,32;33,89;soja
2023-01-23;176,5;33,97;soja
2023-01-24;174,67;33,94;soja
2023-01-25;171,91;33,87;soja
2023-01-26;170,31;33,58;soja
2023-01-27;170,39;33,34;soja
2023-01-30;171,89;33,63;soja
2023-01-31;173,93;34,25;soja
2023-02-01;173,75;34,14;soja
2023-02-02;172,29;34,21;soja
2023-02-03;172,32;33,53;soja
2023-02-06;173,53;33,53;soja
2023-02-07;173,03;33,28;soja
