id_evento,id_animal,brinco,data_evento,tipo,produto,dose_ml,custo_unit,custo_total
25,2,BR0002,2025-05-31,suplemento,Suplemento Mineral,11.3,15.3,172.89
26,2,BR0002,2024-08-12,tratamento,Antibiótico,4.8,45.0,216.0
27,3,BR0003,2024-08-01,vacina,Febre Aftosa,3.7,4.5,16.65
28,3,BR0003,2025-01-01,vacina,Febre Aftosa,3.6,4.5,16.2
29,3,BR0003,2024-08-01,vacina,Brucelose,4.2,6.2,26.04
30,3,BR0003,2025-01-01,vacina,Brucelose,2.2,6.2,13.64
31,3,BR0003,2024-08-01,vacina,Raiva,4.7,3.8,17.86
32,3,BR0003,2025-01-01,vacina,Raiva,4.1,3.8,15.58
33,3,BR0003,2024-07-01,vermifugacao,Ivermectina,7.3,8.9,64.97
34,3,BR0003,2024-09-29,vermifugacao,Ivermectina,7.2,8.9,64.08
35,3,BR0003,2024-12-28,vermifugacao,Ivermectina,5.1,8.9,45.39
36,3,BR0003,2025-03-28,vermifugacao,Ivermectina,7.6,8.9,67.64
37,3,BR0003,2025-06-26,vermifugacao,Ivermectina,6.1,8.9,54.29
38,3,BR0003,2025-09-24,vermifugacao,Ivermectina,5.2,8.9,46.28
39,4,BR0004,2024-08-01,vacina,Febre Aftosa,4.3,4.5,19.35
40,4,BR0004,2025-01-01,vacina,Febre Aftosa,3.4,4.5,15.3
41,4,BR0004,2024-08-01,vacina,Brucelose,4.3,6.2,26.66
42,4,BR0004,2025-01-01,vacina,Brucelose,4.9,6.2,30.38
43,4,BR0004,2024-08-01,vacina,Raiva,4.3,3.8,16.34
44,4,BR0004,2025-01-01,vacina,Raiva,4.5,3.8,17.1
45,4,BR0004,2024-07-01,vermifugacao,Ivermectina,6.3,8.9,56.07
46,4,BR0004,2024-09-29,vermifugacao,Ivermectina,9.2,8.9,81.88
47,4,BR0004,2024-12-28,vermifugacao,Ivermectina,7.7,8.9,68.53
48,4,BR0004,2025-03-28,vermifugacao,Ivermectina,7.3,8.9,64.97
49,4,BR0004,2025-06-26,vermifugacao,Doramectina,8.0,11.2,89.6
50,4,BR0004,2025-09-24,vermifugacao,Ivermectina,5.5,8.9,48.95
51,5,BR0005,2024-08-01,vacina,Febre Aftosa,5.0,4.5,22.5
52,5,BR0005,2025-01-01,vacina,Febre Aftosa,4.9,4.5,22.05
53,5,BR0005,2024-08-01,vacina,Brucelose,3.0,6.2,18.6
54,5,BR0005,2025-01-01,vacina,Brucelose,5.0,6.2,31.0
55,5,BR0005,2024-08-01,vacina,Raiva,4.5,3.8,17.1
56,5,BR0005,2025-01-01,vacina,Raiva,3.8,3.8,14.44
57,5,BR0005,2024-07-01,vermifugacao,Ivermectina,6.8,8.9,60.52
58,5,BR0005,2024-09-29,vermifugacao,Doramectina,7.8,11.2,87.36
59,5,BR0005,2024-12-28,vermifugacao,Doramectina,9.2,11.2,103.04
60,5,BR0005,2025-03-28,vermifugacao,Ivermectina,9.2,8.9,81.88
61,5,BR0005,2025-06-26,vermifugacao,Ivermectina,6.7,8.9,59.63
62,5,BR0005,2025-09-24,vermifugacao,Ivermectina,6.7,8.9,59.63
63,6,BR0006,2024-08-01,vacina,Febre Aftosa,2.1,4.5,9.45
64,6,BR0006,2025-01-01,vacina,Febre Aftosa,3.7,4.5,16.65
65,6,BR0006,2024-08-01,vacina,Brucelose,4.1,6.2,25.42
66,6,BR0006,2025-01-01,vacina,Brucelose,4.6,6.2,28.52
67,6,BR0006,2024-08-01,vacina,Raiva,2.4,3.8,9.12
68,6,BR0006,2025-01-01,vacina,Raiva,3.6,3.8,13.68
69,6,BR0006,2024-07-01,vermifugacao,Ivermectina,7.2,8.9,64.08
70,6,BR0006,2024-09-29,vermifugacao,Doramectina,5.3,11.2,59.36
71,6,BR0006,2024-12-28,vermifugacao,Ivermectina,7.2,8.9,64.08
72,6,BR0006,2025-03-28,vermifugacao,Ivermectina,8.6,8.9,76.54
73,6,BR0006,2025-06-26,vermifugacao,Ivermectina,8.4,8.9,74.76
74,6,BR0006,2025-09-24,vermifugacao,Ivermectina,9.1,8.9,80.99
75,7,BR0007,2024-08-01,vacina,Febre Aftosa,4.7,4.5,21.15
76,7,BR0007,2025-01-01,vacina,Febre Aftosa,4.8,4.5,21.6
77,7,BR0007,2024-08-01,vacina,Brucelose,4.6,6.2,28.52
78,7,BR0007,2025-01-01,vacina,Brucelose,4.1,6.2,25.42
79,7,BR0007,2024-08-01,vacina,Raiva,2.5,3.8,9.5
80,7,BR0007,2025-01-01,vacina,Raiva,2.8,3.8,10.64
81,7,BR0007,2024-07-01,vermifugacao,Doramectina,5.4,11.2,60.48
82,7,BR0007,2024-09-29,vermifugacao,Ivermectina,7.5,8.9,66.75
83,7,BR0007,2024-12-28,vermifugacao,Ivermectina,6.1,8.9,54.29
84,7,BR0007,2025-03-28,vermifugacao,Doramectina,7.0,11.2,78.4
85,7,BR0007,2025-06-26,vermifugacao,Doramectina,9.2,11.2,103.04
86,7,BR0007,2025-09-24,vermifugacao,Ivermectina,6.4,8.9,56.96
87,8,BR0008,2024-08-01,vacina,Febre Aftosa,2.7,4.5,12.15
88,8,BR0008,2025-01-01,vacina,Febre Aftosa,4.0,4.5,18.0
89,8,BR0008,2024-08-01,vacina,Brucelose,2.8,6.2,17.36
90,8,BR0008,2025-01-01,vacina,Brucelose,4.7,6.2,29.14
91,8,BR0008,2024-08-01,vacina,Raiva,3.7,3.8,14.06
92,8,BR0008,2025-01-01,vacina,Raiva,2.6,3.8,9.88
93,8,BR0008,2024-07-01,vermifugacao,Doramectina,10.0,11.2,112.0
94,8,BR0008,2024-09-29,vermifugacao,Ivermectina,9.8,8.9,87.22
95,8,BR0008,2024-12-28,vermifugacao,Doramectina,8.0,11.2,89.6
96,8,BR0008,2025-03-28,vermifugacao,Doramectina,6.7,11.2,75.04
97,8,BR0008,2025-06-26,vermifugacao,Doramectina,6.2,11.2,69.44
98,8,BR0008,2025-09-24,vermifugacao,Doramectina,8.9,11.2,99.68
99,9,BR0009,2024-08-01,vacina,Febre Aftosa,4.2,4.5,18.9
100,9,BR0009,2025-01-01,vacina,Febre Aftosa,4.0,4.5,18.0
101,9,BR0009,2024-08-01,vacina,Brucelose,4.9,6.2,30.38
102,9,BR0009,2025-01-01,vacina,Brucelose,4.8,6.2,29.76
103,9,BR0009,2024-08-01,vacina,Raiva,4.4,3.8,16.72
104,9,BR0009,2025-01-01,vacina,Raiva,4.2,3.8,15.96
105,9,BR0009,2024-07-01,vermifugacao,Doramectina,7.7,11.2,86.24
106,9,BR0009,2024-09-29,vermifugacao,Ivermectina,7.1,8.9,63.19
107,9,BR0009,2024-12-28,vermifugacao,Doramectina,5.4,11.2,60.48
108,9,BR0009,2025-03-28,vermifugacao,Ivermectina,9.2,8.9,81.88
109,9,BR0009,2025-06-26,vermifugacao,Doramectina,7.5,11.2,84.0
110,9,BR0009,2025-09-24,vermifugacao,Doramectina,7.5,11.2,84.0
111,9,BR0009,2024-07-24,tratamento,Antibiótico,5.3,45.0,238.5
112,9,BR0009,2025-03-30,suplemento,Suplemento Mineral,10.1,15.3,154.53
113,10,BR0010,2024-08-01,vacina,Febre Aftosa,5.0,4.5,22.5
114,10,BR0010,2025-01-01,vacina,Febre Aftosa,2.5,4.5,11.25
115,10,BR0010,2024-08-01,vacina,Brucelose,2.1,6.2,13.02
116,10,BR0010,2025-01-01,vacina,Brucelose,4.3,6.2,26.66
117,10,BR0010,2024-08-01,vacina,Raiva,2.8,3.8,10.64
118,10,BR0010,2025-01-01,vacina,Raiva,4.5,3.8,17.1
119,10,BR0010,2024-07-01,vermifugacao,Ivermectina,5.5,8.9,48.95
120,10,BR0010,2024-09-29,vermifugacao,Doramectina,7.0,11.2,78.4
121,10,BR0010,2024-12-28,vermifugacao,Doramectina,9.3,11.2,104.16
122,10,BR0010,2025-03-28,vermifugacao,Ivermectina,8.2,8.9,72.98
123,10,BR0010,2025-06-26,vermifugacao,Ivermectina,8.4,8.9,74.76
124,10,BR0010,2025-09-24,vermifugacao,Ivermectina,7.5,8.9,66.75
125,11,BR0011,2024-08-01,vacina,Febre Aftosa,4.4,4.5,19.8
126,11,BR0011,2025-01-01,vacina,Febre Aftosa,4.2,4.5,18.9
127,11,BR0011,2024-08-01,vacina,Brucelose,4.0,6.2,24.8
128,11,BR0011,2025-01-01,vacina,Brucelose,2.3,6.2,14.26
129,11,BR0011,2024-08-01,vacina,Raiva,4.2,3.8,15.96
130,11,BR0011,2025-01-01,vacina,Raiva,3.5,3.8,13.3
131,11,BR0011,2024-07-01,vermifugacao,Doramectina,6.7,11.2,75.04
132,11,BR0011,2024-09-29,vermifugacao,Doramectina,5.3,11.2,59.36
133,11,BR0011,2024-12-28,vermifugacao,Doramectina,8.7,11.2,97.44
134,11,BR0011,2025-03-28,vermifugacao,Doramectina,6.8,11.2,76.16
135,11,BR0011,2025-06-26,vermifugacao,Doramectina,8.1,11.2,90.72
136,11,BR0011,2025-09-24,vermifugacao,Ivermectina,8.7,8.9,77.43
137,11,BR0011,2024-09-21,suplemento,Suplemento Mineral,14.2,15.3,217.26
138,11,BR0011,2025-09-15,suplemento,Suplemento Mineral,11.5,15.3,175.95
139,12,BR0012,2024-08-01,vacina,Febre Aftosa,4.0,4.5,18.0
140,12,BR0012,2025-01-01,vacina,Febre Aftosa,3.2,4.5,14.4
141,12,BR0012,2024-08-01,vacina,Brucelose,2.0,6.2,12.4
142,12,BR0012,2025-01-01,vacina,Brucelose,2.4,6.2,14.88
143,12,BR0012,2024-08-01,vacina,Raiva,3.6,3.8,13.68
144,12,BR0012,2025-01-01,vacina,Raiva,4.0,3.8,15.2
145,12,BR0012,2024-07-01,vermifugacao,Doramectina,6.1,11.2,68.32
146,12,BR0012,2024-09-29,vermifugacao,Ivermectina,7.6,8.9,67.64
147,12,BR0012,2024-12-28,vermifugacao,Ivermectina,7.2,8.9,64.08
148,12,BR0012,2025-03-28,vermifugacao,Ivermectina,9.2,8.9,81.88
149,12,BR0012,2025-06-26,vermifugacao,Ivermectina,9.3,8.9,82.77
150,12,BR0012,2025-09-24,vermifugacao,Ivermectina,5.6,8.9,49.84
151,13,BR0013,2024-08-01,vacina,Febre Aftosa,2.6,4.5,11.7
152,13,BR0013,2025-01-01,vacina,Febre Aftosa,2.0,4.5,9.0
153,13,BR0013,2024-08-01,vacina,Brucelose,5.0,6.2,31.0
154,13,BR0013,2025-01-01,vacina,Brucelose,2.8,6.2,17.36
155,13,BR0013,2024-08-01,vacina,Raiva,4.0,3.8,15.2
156,13,BR0013,2025-01-01,vacina,Raiva,2.5,3.8,9.5
157,13,BR0013,2024-07-01,vermifugacao,Ivermectina,6.6,8.9,58.74
158,13,BR0013,2024-09-29,vermifugacao,Ivermectina,6.6,8.9,58.74
159,13,BR0013,2024-12-28,vermifugacao,Ivermectina,9.2,8.9,81.88
160,13,BR0013,2025-03-28,vermifugacao,Ivermectina,8.1,8.9,72.09
161,13,BR0013,2025-06-26,vermifugacao,Doramectina,9.0,11.2,100.8
162,13,BR0013,2025-09-24,vermifugacao,Doramectina,6.6,11.2,73.92
163,13,BR0013,2024-12-22,tratamento,Anti-inflamatório,8.7,28.5,247.95
164,14,BR0014,2024-08-01,vacina,Febre Aftosa,2.1,4.5,9.45
165,14,BR0014,2025-01-01,vacina,Febre Aftosa,3.9,4.5,17.55
166,14,BR0014,2024-08-01,vacina,Brucelose,2.2,6.2,13.64
167,14,BR0014,2025-01-01,vacina,Brucelose,4.8,6.2,29.76
168,14,BR0014,2024-08-01,vacina,Raiva,4.9,3.8,18.62
169,14,BR0014,2025-01-01,vacina,Raiva,2.6,3.8,9.88
170,14,BR0014,2024-07-01,vermifugacao,Doramectina,7.8,11.2,87.36
171,14,BR0014,2024-09-29,vermifugacao,Ivermectina,8.6,8.9,76.54
172,14,BR0014,2024-12-28,vermifugacao,Ivermectina,7.6,8.9,67.64
173,14,BR0014,2025-03-28,vermifugacao,Doramectina,6.9,11.2,77.28
174,14,BR0014,2025-06-26,vermifugacao,Ivermectina,7.2,8.9,64.08
175,14,BR0014,2025-09-24,vermifugacao,Doramectina,5.6,11.2,62.72
176,15,BR0015,2024-08-01,vacina,Febre Aftosa,2.1,4.5,9.45
177,15,BR0015,2025-01-01,vacina,Febre Aftosa,3.6,4.5,16.2
178,15,BR0015,2024-08-01,vacina,Brucelose,4.7,6.2,29.14
179,15,BR0015,2025-01-01,vacina,Brucelose,4.5,6.2,27.9
180,15,BR0015,2024-08-01,vacina,Raiva,4.6,3.8,17.48
181,15,BR0015,2025-01-01,vacina,Raiva,4.8,3.8,18.24
182,15,BR0015,2024-07-01,vermifugacao,Doramectina,8.1,11.2,90.72
183,15,BR0015,2024-09-29,vermifugacao,Ivermectina,7.8,8.9,69.42
184,15,BR0015,2024-12-28,vermifugacao,Doramectina,7.3,11.2,81.76
185,15,BR0015,2025-03-28,vermifugacao,Doramectina,5.2,11.2,58.24
186,15,BR0015,2025-06-26,vermifugacao,Ivermectina,6.3,8.9,56.07
187,15,BR0015,2025-09-24,vermifugacao,Ivermectina,8.8,8.9,78.32
188,16,BR0016,2024-08-01,vacina,Febre Aftosa,2.4,4.5,10.8
189,16,BR0016,2025-01-01,vacina,Febre Aftosa,3.5,4.5,15.75
190,16,BR0016,2024-08-01,vacina,Brucelose,4.1,6.2,25.42
191,16,BR0016,2025-01-01,vacina,Brucelose,4.3,6.2,26.66
192,16,BR0016,2024-08-01,vacina,Raiva,2.1,3.8,7.98
193,16,BR0016,2025-01-01,vacina,Raiva,4.7,3.8,17.86
194,16,BR0016,2024-07-01,vermifugacao,Ivermectina,9.1,8.9,80.99
195,16,BR0016,2024-09-29,vermifugacao,Ivermectina,9.0,8.9,80.1
196,16,BR0016,2024-12-28,vermifugacao,Doramectina,8.6,11.2,96.32
197,16,BR0016,2025-03-28,vermifugacao,Ivermectina,8.6,8.9,76.54
198,16,BR0016,2025-06-26,vermifugacao,Ivermectina,8.2,8.9,72.98
199,16,BR0016,2025-09-24,vermifugacao,Ivermectina,8.6,8.9,76.54
200,17,BR0017,2024-08-01,vacina,Febre Aftosa,2.9,4.5,13.05
201,17,BR0017,2025-01-01,vacina,Febre Aftosa,2.9,4.5,13.05
202,17,BR0017,2024-08-01,vacina,Brucelose,4.0,6.2,24.8
203,17,BR0017,2025-01-01,vacina,Brucelose,2.1,6.2,13.02
204,17,BR0017,2024-08-01,vacina,Raiva,4.2,3.8,15.96
205,17,BR0017,2025-01-01,vacina,Raiva,4.5,3.8,17.1
206,17,BR0017,2024-07-01,vermifugacao,Ivermectina,6.7,8.9,59.63
207,17,BR0017,2024-09-29,vermifugacao,Ivermectina,5.9,8.9,52.51
208,17,BR0017,2024-12-28,vermifugacao,Ivermectina,9.4,8.9,83.66
209,17,BR0017,2025-03-28,vermifugacao,Ivermectina,9.9,8.9,88.11
210,17,BR0017,2025-06-26,vermifugacao,Doramectina,7.9,11.2,88.48
211,17,BR0017,2025-09-24,vermifugacao,Ivermectina,7.6,8.9,67.64
212,18,BR0018,2024-08-01,vacina,Febre Aftosa,2.8,4.5,12.6
213,18,BR0018,2025-01-01,vacina,Febre Aftosa,4.8,4.5,21.6
214,18,BR0018,2024-08-01,vacina,Brucelose,2.5,6.2,15.5
215,18,BR0018,2025-01-01,vacina,Brucelose,3.7,6.2,22.94
216,18,BR0018,2024-08-01,vacina,Raiva,3.7,3.8,14.06
217,18,BR0018,2025-01-01,vacina,Raiva,4.2,3.8,15.96
218,18,BR0018,2024-07-01,vermifugacao,Doramectina,8.8,11.2,98.56
219,18,BR0018,2024-09-29,vermifugacao,Ivermectina,5.8,8.9,51.62
220,18,BR0018,2024-12-28,vermifugacao,Doramectina,6.5,11.2,72.8
221,18,BR0018,2025-03-28,vermifugacao,Ivermectina,7.8,8.9,69.42
222,18,BR0018,2025-06-26,vermifugacao,Doramectina,9.4,11.2,105.28
223,18,BR0018,2025-09-24,vermifugacao,Ivermectina,9.4,8.9,83.66
224,19,BR0019,2024-08-01,vacina,Febre Aftosa,2.4,4.5,10.8
225,19,BR0019,2025-01-01,vacina,Febre Aftosa,3.4,4.5,15.3
226,19,BR0019,2024-08-01,vacina,Brucelose,4.5,6.2,27.9
227,19,BR0019,2025-01-01,vacina,Brucelose,4.7,6.2,29.14
228,19,BR0019,2024-08-01,vacina,Raiva,2.8,3.8,10.64
229,19,BR0019,2025-01-01,vacina,Raiva,4.1,3.8,15.58
230,19,BR0019,2024-07-01,vermifugacao,Ivermectina,8.8,8.9,78.32
231,19,BR0019,2024-09-29,vermifugacao,Ivermectina,7.8,8.9,69.42
232,19,BR0019,2024-12-28,vermifugacao,Doramectina,5.2,11.2,58.24
233,19,BR0019,2025-03-28,vermifugacao,Doramectina,6.7,11.2,75.04
234,19,BR0019,2025-06-26,vermifugacao,Doramectina,8.8,11.2,98.56
235,19,BR0019,2025-09-24,vermifugacao,Ivermectina,5.1,8.9,45.39
236,19,BR0019,2025-02-06,suplemento,Suplemento Mineral,5.8,15.3,88.74
237,20,BR0020,2024-08-01,vacina,Febre Aftosa,3.3,4.5,14.85
238,20,BR0020,2025-01-01,vacina,Febre Aftosa,2.2,4.5,9.9
239,20,BR0020,2024-08-01,vacina,Brucelose,4.9,6.2,30.38
240,20,BR0020,2025-01-01,vacina,Brucelose,2.7,6.2,16.74
241,20,BR0020,2024-08-01,vacina,Raiva,4.8,3.8,18.24
242,20,BR0020,2025-01-01,vacina,Raiva,3.3,3.8,12.54
243,20,BR0020,2024-07-01,vermifugacao,Ivermectina,5.3,8.9,47.17
244,20,BR0020,2024-09-29,vermifugacao,Doramectina,9.7,11.2,108.64
245,20,BR0020,2024-12-28,vermifugacao,Doramectina,5.5,11.2,61.6
246,20,BR0020,2025-03-28,vermifugacao,Doramectina,9.5,11.2,106.4
247,20,BR0020,2025-06-26,vermifugacao,Doramectina,5.3,11.2,59.36
248,20,BR0020,2025-09-24,vermifugacao,Ivermectina,7.1,8.9,63.19
249,21,BR0021,2024-08-01,vacina,Febre Aftosa,3.6,4.5,16.2
250,21,BR0021,2025-01-01,vacina,Febre Aftosa,3.6,4.5,16.2
251,21,BR0021,2024-08-01,vacina,Brucelose,2.4,6.2,14.88
252,21,BR0021,2025-01-01,vacina,Brucelose,2.0,6.2,12.4
253,21,BR0021,2024-08-01,vacina,Raiva,4.4,3.8,16.72
254,21,BR0021,2025-01-01,vacina,Raiva,2.3,3.8,8.74
255,21,BR0021,2024-07-01,vermifugacao,Doramectina,7.8,11.2,87.36
256,21,BR0021,2024-09-29,vermifugacao,Doramectina,6.0,11.2,67.2
257,21,BR0021,2024-12-28,vermifugacao,Doramectina,7.9,11.2,88.48
258,21,BR0021,2025-03-28,vermifugacao,Doramectina,8.0,11.2,89.6
259,21,BR0021,2025-06-26,vermifugacao,Ivermectina,5.7,8.9,50.73
260,21,BR0021,2025-09-24,vermifugacao,Ivermectina,6.5,8.9,57.85
261,22,BR0022,2024-08-01,vacina,Febre Aftosa,3.8,4.5,17.1
262,22,BR0022,2025-01-01,vacina,Febre Aftosa,2.5,4.5,11.25
263,22,BR0022,2024-08-01,vacina,Brucelose,4.2,6.2,26.04
264,22,BR0022,2025-01-01,vacina,Brucelose,2.9,6.2,17.98
265,22,BR0022,2024-08-01,vacina,Raiva,4.0,3.8,15.2
266,22,BR0022,2025-01-01,vacina,Raiva,2.5,3.8,9.5
267,22,BR0022,2024-07-01,vermifugacao,Ivermectina,9.1,8.9,80.99
268,22,BR0022,2024-09-29,vermifugacao,Ivermectina,7.1,8.9,63.19
269,22,BR0022,2024-12-28,vermifugacao,Ivermectina,7.8,8.9,69.42
270,22,BR0022,2025-03-28,vermifugacao,Doramectina,6.3,11.2,70.56
271,22,BR0022,2025-06-26,vermifugacao,Ivermectina,8.0,8.9,71.2
272,22,BR0022,2025-09-24,vermifugacao,Doramectina,6.0,11.2,67.2
273,23,BR0023,2024-08-01,vacina,Febre Aftosa,2.3,4.5,10.35
274,23,BR0023,2025-01-01,vacina,Febre Aftosa,3.2,4.5,14.4
275,23,BR0023,2024-08-01,vacina,Brucelose,4.1,6.2,25.42
276,23,BR0023,2025-01-01,vacina,Brucelose,4.0,6.2,24.8
277,23,BR0023,2024-08-01,vacina,Raiva,3.9,3.8,14.82
278,23,BR0023,2025-01-01,vacina,Raiva,2.8,3.8,10.64
279,23,BR0023,2024-07-01,vermifugacao,Ivermectina,9.2,8.9,81.88
280,23,BR0023,2024-09-29,vermifugacao,Ivermectina,8.6,8.9,76.54
281,23,BR0023,2024-12-28,vermifugacao,Doramectina,7.3,11.2,81.76
282,23,BR0023,2025-03-28,vermifugacao,Doramectina,6.2,11.2,69.44
283,23,BR0023,2025-06-26,vermifugacao,Doramectina,9.6,11.2,107.52
284,23,BR0023,2025-09-24,vermifugacao,Ivermectina,5.1,8.9,45.39
285,24,BR0024,2024-08-01,vacina,Febre Aftosa,4.4,4.5,19.8
286,24,BR0024,2025-01-01,vacina,Febre Aftosa,4.7,4.5,21.15
287,24,BR0024,2024-08-01,vacina,Brucelose,3.6,6.2,22.32
288,24,BR0024,2025-01-01,vacina,Brucelose,3.4,6.2,21.08
289,24,BR0024,2024-08-01,vacina,Raiva,2.1,3.8,7.98
290,24,BR0024,2025-01-01,vacina,Raiva,4.6,3.8,17.48
291,24,BR0024,2024-07-01,vermifugacao,Doramectina,6.4,11.2,71.68
292,24,BR0024,2024-09-29,vermifugacao,Ivermectina,7.4,8.9,65.86
293,24,BR0024,2024-12-28,vermifugacao,Ivermectina,9.3,8.9,82.77
294,24,BR0024,2025-03-28,vermifugacao,Ivermectina,5.1,8.9,45.39
295,24,BR0024,2025-06-26,vermifugacao,Ivermectina,7.0,8.9,62.3
296,24,BR0024,2025-09-24,vermifugacao,Ivermectina,6.1,8.9,54.29
297,25,BR0025,2024-08-01,vacina,Febre Aftosa,4.0,4.5,18.0
298,25,BR0025,2025-01-01,vacina,Febre Aftosa,4.2,4.5,18.9
299,25,BR0025,2024-08-01,vacina,Brucelose,2.0,6.2,12.4
300,25,BR0025,2025-01-01,vacina,Brucelose,4.8,6.2,29.76
301,25,BR0025,2024-08-01,vacina,Raiva,2.5,3.8,9.5
302,25,BR0025,2025-01-01,vacina,Raiva,2.7,3.8,10.26
303,25,BR0025,2024-07-01,vermifugacao,Doramectina,6.3,11.2,70.56
304,25,BR0025,2024-09-29,vermifugacao,Ivermectina,5.6,8.9,49.84
305,25,BR0025,2024-12-28,vermifugacao,Ivermectina,8.4,8.9,74.76
306,25,BR0025,2025-03-28,vermifugacao,Ivermectina,5.6,8.9,49.84
307,25,BR0025,2025-06-26,vermifugacao,Ivermectina,10.0,8.9,89.0
308,25,BR0025,2025-09-24,vermifugacao,Doramectina,9.3,11.2,104.16
309,26,BR0026,2024-08-01,vacina,Febre Aftosa,2.1,4.5,9.45
310,26,BR0026,2025-01-01,vacina,Febre Aftosa,2.7,4.5,12.15
311,26,BR0026,2024-08-01,vacina,Brucelose,2.2,6.2,13.64
312,26,BR0026,2025-01-01,vacina,Brucelose,2.3,6.2,14.26
313,26,BR0026,2024-08-01,vacina,Raiva,3.3,3.8,12.54
314,26,BR0026,2025-01-01,vacina,Raiva,2.7,3.8,10.26
315,26,BR0026,2024-07-01,vermifugacao,Ivermectina,7.9,8.9,70.31
316,26,BR0026,2024-09-29,vermifugacao,Doramectina,9.7,11.2,108.64
317,26,BR0026,2024-12-28,vermifugacao,Ivermectina,5.4,8.9,48.06
318,26,BR0026,2025-03-28,vermifugacao,Ivermectina,6.8,8.9,60.52
319,26,BR0026,2025-06-26,vermifugacao,Ivermectina,7.7,8.9,68.53
320,26,BR0026,2025-09-24,vermifugacao,Ivermectina,8.6,8.9,76.54
321,27,BR0027,2024-08-01,vacina,Febre Aftosa,4.6,4.5,20.7
322,27,BR0027,2025-01-01,vacina,Febre Aftosa,4.8,4.5,21.6
323,27,BR0027,2024-08-01,vacina,Brucelose,3.0,6.2,18.6
324,27,BR0027,2025-01-01,vacina,Brucelose,3.7,6.2,22.94
325,27,BR0027,2024-08-01,vacina,Raiva,2.3,3.8,8.74
326,27,BR0027,2025-01-01,vacina,Raiva,2.6,3.8,9.88
327,27,BR0027,2024-07-01,vermifugacao,Doramectina,9.1,11.2,101.92
328,27,BR0027,2024-09-29,vermifugacao,Doramectina,9.4,11.2,105.28
329,27,BR0027,2024-12-28,vermifugacao,Ivermectina,8.3,8.9,73.87
330,27,BR0027,2025-03-28,vermifugacao,Ivermectina,8.0,8.9,71.2
331,27,BR0027,2025-06-26,vermifugacao,Doramectina,9.2,11.2,103.04
332,27,BR0027,2025-09-24,vermifugacao,Doramectina,9.3,11.2,104.16
333,28,BR0028,2024-08-01,vacina,Febre Aftosa,3.3,4.5,14.85
334,28,BR0028,2025-01-01,vacina,Febre Aftosa,2.2,4.5,9.9
335,28,BR0028,2024-08-01,vacina,Brucelose,3.4,6.2,21.08
336,28,BR0028,2025-01-01,vacina,Brucelose,4.5,6.2,27.9
337,28,BR0028,2024-08-01,vacina,Raiva,3.8,3.8,14.44
338,28,BR0028,2025-01-01,vacina,Raiva,4.5,3.8,17.1
339,28,BR0028,2024-07-01,vermifugacao,Doramectina,5.2,11.2,58.24
340,28,BR0028,2024-09-29,vermifugacao,Ivermectina,5.1,8.9,45.39
341,28,BR0028,2024-12-28,vermifugacao,Doramectina,8.2,11.2,91.84
342,28,BR0028,2025-03-28,vermifugacao,Ivermectina,9.0,8.9,80.1
343,28,BR0028,2025-06-26,vermifugacao,Doramectina,7.6,11.2,85.12
344,28,BR0028,2025-09-24,vermifugacao,Ivermectina,7.1,8.9,63.19
345,29,BR0029,2024-08-01,vacina,Febre Aftosa,2.7,4.5,12.15
346,29,BR0029,2025-01-01,vacina,Febre Aftosa,2.4,4.5,10.8
