id_pesagem,id_animal,brinco,raca,lote,data_pesagem,dias_conf,peso_kg,gmd_periodo,arroba_atual,preco_arroba_rs,valor_mercado_rs
660,81,BR0081,Brahman,2,2024-07-01,0,308.3,0.961,10.28,225.65,2319.68
2342,284,BR0284,Simental,1,2024-07-01,0,355.0,1.498,11.83,225.65,2669.44
2335,283,BR0283,Simental,5,2024-07-01,0,346.4,1.1,11.55,225.65,2606.26
669,82,BR0082,Nelore,8,2024-07-01,0,323.2,1.081,10.77,225.65,2430.25
2328,282,BR0282,Cruzado Nelore,3,2024-07-01,0,316.7,1.291,10.56,225.65,2382.86
2321,281,BR0281,Angus,4,2024-07-01,0,351.1,1.152,11.7,225.65,2640.1
4018,484,BR0484,Cruzado Nelore,4,2024-07-01,0,364.8,1.362,12.16,225.65,2743.9
677,83,BR0083,Brahman,3,2024-07-01,0,275.6,0.94,9.19,225.65,2073.72
3657,441,BR0441,Nelore,10,2024-07-01,0,302.5,0.953,10.08,225.65,2274.55
1146,141,BR0141,Cruzado Nelore,9,2024-07-01,0,316.0,1.017,10.53,225.65,2376.09
2313,280,BR0280,Nelore,3,2024-07-01,0,324.1,1.088,10.8,225.65,2437.02
3848,463,BR0463,Simental,7,2024-07-01,0,378.3,1.432,12.61,225.65,2845.45
2306,279,BR0279,Nelore,3,2024-07-01,0,306.3,1.259,10.21,225.65,2303.89
1563,193,BR0193,Nelore,1,2024-07-01,0,330.5,0.895,11.02,225.65,2486.66
687,84,BR0084,Cruzado Nelore,8,2024-07-01,0,355.4,1.346,11.85,225.65,2673.95
2299,278,BR0278,Cruzado Nelore,7,2024-07-01,0,317.7,1.212,10.59,225.65,2389.63
693,85,BR0085,Simental,1,2024-07-01,0,358.4,1.17,11.95,225.65,2696.52
2347,285,BR0285,Nelore,3,2024-07-01,0,330.6,1.137,11.02,225.65,2486.66
1552,192,BR0192,Cruzado Nelore,6,2024-07-01,0,331.9,0.709,11.06,225.65,2495.69
2354,286,BR0286,Nelore,8,2024-07-01,0,289.9,1.247,9.66,225.65,2179.78
651,80,BR0080,Brahman,5,2024-07-01,0,320.4,0.967,10.68,225.65,2409.94
1536,190,BR0190,Cruzado Nelore,8,2024-07-01,0,335.3,1.401,11.18,225.65,2522.77
2421,294,BR0294,Simental,9,2024-07-01,0,377.0,1.366,12.57,225.65,2836.42
4031,486,BR0486,Nelore,1,2024-07-01,0,348.5,1.314,11.62,225.65,2622.05
616,76,BR0076,Nelore,9,2024-07-01,0,331.0,0.916,11.03,225.65,2488.92
2414,293,BR0293,Nelore,6,2024-07-01,0,324.8,1.038,10.83,225.65,2443.79
1542,191,BR0191,Brahman,10,2024-07-01,0,319.6,0.776,10.65,225.65,2403.17
2404,292,BR0292,Nelore,6,2024-07-01,0,300.1,0.843,10.0,225.65,2256.5
625,77,BR0077,Nelore,4,2024-07-01,0,329.2,1.257,10.97,225.65,2475.38
524,65,BR0065,Nelore,7,2024-07-01,0,296.1,1.128,9.87,225.65,2227.17
3647,440,BR0440,Cruzado Nelore,8,2024-07-01,0,314.3,0.788,10.48,225.65,2364.81
632,78,BR0078,Nelore,10,2024-07-01,0,263.7,0.844,8.79,225.65,1983.46
2385,290,BR0290,Angus,6,2024-07-01,0,336.6,0.979,11.22,225.65,2531.79
1155,142,BR0142,Nelore,8,2024-07-01,0,346.8,0.983,11.56,225.65,2608.51
2381,289,BR0289,Simental,4,2024-07-01,0,398.1,1.616,13.27,225.65,2994.38
4024,485,BR0485,Angus,6,2024-07-01,0,349.5,1.18,11.65,225.65,2628.82
645,79,BR0079,Simental,10,2024-07-01,0,350.8,1.332,11.69,225.65,2637.85
2373,288,BR0288,Cruzado Nelore,5,2024-07-01,0,308.9,1.171,10.3,225.65,2324.2
2362,287,BR0287,Nelore,2,2024-07-01,0,302.1,0.905,10.07,225.65,2272.3
2393,291,BR0291,Brahman,1,2024-07-01,0,308.7,0.783,10.29,225.65,2321.94
2285,277,BR0277,Brahman,2,2024-07-01,0,311.3,0.621,10.38,225.65,2342.25
2562,312,BR0312,Nelore,4,2024-07-01,0,349.2,1.394,11.64,225.65,2626.57
2568,313,BR0313,Angus,6,2024-07-01,0,348.0,0.894,11.6,225.65,2617.54
2790,337,BR0337,Cruzado Nelore,5,2024-07-01,0,333.3,1.241,11.11,225.65,2506.97
2782,336,BR0336,Brahman,8,2024-07-01,0,304.0,1.072,10.13,225.65,2285.83
394,49,BR0049,Nelore,4,2024-07-01,0,307.5,0.984,10.25,225.65,2312.91
2776,335,BR0335,Simental,2,2024-07-01,0,356.9,1.394,11.9,225.65,2685.24
1211,149,BR0149,Nelore,9,2024-07-01,0,293.7,0.948,9.79,225.65,2209.11
2768,334,BR0334,Cruzado Nelore,7,2024-07-01,0,334.6,1.026,11.15,225.65,2516.0
4072,491,BR0491,Nelore,5,2024-07-01,0,325.0,1.346,10.83,225.65,2443.79
404,50,BR0050,Nelore,1,2024-07-01,0,331.4,1.216,11.05,225.65,2493.43
2762,333,BR0333,Simental,6,2024-07-01,0,355.0,1.052,11.83,225.65,2669.44
2754,332,BR0332,Nelore,8,2024-07-01,0,310.3,1.035,10.34,225.65,2333.22
3859,465,BR0465,Cruzado Nelore,9,2024-07-01,0,328.4,0.939,10.95,225.65,2470.87
411,51,BR0051,Angus,6,2024-07-01,0,393.4,1.354,13.11,225.65,2958.27
2748,331,BR0331,Angus,4,2024-07-01,0,381.6,1.063,12.72,225.65,2870.27
1464,180,BR0180,Nelore,5,2024-07-01,0,330.0,0.866,11.0,225.65,2482.15
416,52,BR0052,Nelore,6,2024-07-01,0,311.6,1.183,10.39,225.65,2344.5
2740,330,BR0330,Nelore,8,2024-07-01,0,314.2,1.172,10.47,225.65,2362.56
2732,329,BR0329,Nelore,2,2024-07-01,0,347.8,1.016,11.59,225.65,2615.28
386,48,BR0048,Brahman,9,2024-07-01,0,335.0,0.989,11.17,225.65,2520.51
3548,429,BR0429,Nelore,7,2024-07-01,0,319.7,1.022,10.66,225.65,2405.43
1456,179,BR0179,Nelore,10,2024-07-01,0,340.1,1.068,11.34,225.65,2558.87
381,47,BR0047,Cruzado Nelore,9,2024-07-01,0,353.7,1.485,11.79,225.65,2660.41
1443,177,BR0177,Cruzado Nelore,7,2024-07-01,0,351.4,1.562,11.71,225.65,2642.36
345,42,BR0042,Simental,10,2024-07-01,0,352.0,1.396,11.73,225.65,2646.87
2851,345,BR0345,Brahman,6,2024-07-01,0,266.9,1.425,8.9,225.65,2008.28
1222,150,BR0150,Cruzado Nelore,3,2024-07-01,0,365.9,1.329,12.2,225.65,2752.93
351,43,BR0043,Simental,1,2024-07-01,0,320.3,1.232,10.68,225.65,2409.94
2842,344,BR0344,Nelore,9,2024-07-01,0,338.3,0.945,11.28,225.65,2545.33
2834,343,BR0343,Nelore,1,2024-07-01,0,309.3,1.17,10.31,225.65,2326.45
358,44,BR0044,Nelore,3,2024-07-01,0,287.4,1.293,9.58,225.65,2161.73
2829,342,BR0342,Simental,1,2024-07-01,0,355.7,1.536,11.86,225.65,2676.21
1448,178,BR0178,Brahman,1,2024-07-01,0,319.8,1.087,10.66,225.65,2405.43
2822,341,BR0341,Angus,6,2024-07-01,0,361.3,0.982,12.04,225.65,2716.83
366,45,BR0045,Cruzado Nelore,6,2024-07-01,0,330.0,1.171,11.0,225.65,2482.15
3539,428,BR0428,Nelore,2,2024-07-01,0,323.9,0.976,10.8,225.65,2437.02
3915,471,BR0471,Angus,2,2024-07-01,0,303.8,1.038,10.13,225.65,2285.83
2812,340,BR0340,Nelore,2,2024-07-01,0,295.1,0.97,9.84,225.65,2220.4
373,46,BR0046,Cruzado Nelore,8,2024-07-01,0,316.5,1.252,10.55,225.65,2380.61
2806,339,BR0339,Simental,9,2024-07-01,0,375.2,1.253,12.51,225.65,2822.88
2797,338,BR0338,Brahman,2,2024-07-01,0,262.7,1.059,8.76,225.65,1976.69
424,53,BR0053,Simental,1,2024-07-01,0,310.5,1.043,10.35,225.65,2335.48
2724,328,BR0328,Simental,10,2024-07-01,0,347.7,0.933,11.59,225.65,2615.28
1473,181,BR0181,Angus,3,2024-07-01,0,374.4,1.29,12.48,225.65,2816.11
1489,183,BR0183,Cruzado Nelore,6,2024-07-01,0,327.8,1.251,10.93,225.65,2466.35
482,59,BR0059,Simental,8,2024-07-01,0,373.3,1.453,12.44,225.65,2807.09
2627,318,BR0318,Brahman,1,2024-07-01,0,280.8,0.873,9.36,225.65,2112.08
487,60,BR0060,Nelore,10,2024-07-01,0,294.3,1.331,9.81,225.65,2213.63
2619,317,BR0317,Cruzado Nelore,8,2024-07-01,0,297.4,1.263,9.91,225.65,2236.19
3591,433,BR0433,Cruzado Nelore,5,2024-07-01,0,323.6,0.806,10.79,225.65,2434.76
1496,184,BR0184,Angus,10,2024-07-01,0,360.3,1.329,12.01,225.65,2710.06
3601,434,BR0434,Cruzado Nelore,8,2024-07-01,0,351.9,1.164,11.73,225.65,2646.87
495,61,BR0061,Cruzado Nelore,6,2024-07-01,0,355.2,1.528,11.84,225.65,2671.7
2601,316,BR0316,Brahman,5,2024-07-01,0,285.9,0.404,9.53,225.65,2150.44
501,62,BR0062,Nelore,3,2024-07-01,0,325.1,0.965,10.84,225.65,2446.05
2593,315,BR0315,Cruzado Nelore,7,2024-07-01,0,332.1,1.041,11.07,225.65,2497.95
1186,146,BR0146,Cruzado Nelore,7,2024-07-01,0,328.3,0.904,10.94,225.65,2468.61
3608,435,BR0435,Brahman,9,2024-07-01,0,311.8,0.688,10.39,225.65,2344.5
510,63,BR0063,Nelore,7,2024-07-01,0,295.9,1.092,9.86,225.65,2224.91
1502,185,BR0185,Brahman,8,2024-07-01,0,350.2,1.119,11.67,225.65,2633.34
2576,314,BR0314,Nelore,5,2024-07-01,0,283.8,0.615,9.46,225.65,2134.65
4057,489,BR0489,Brahman,3,2024-07-01,0,292.1,1.094,9.74,225.65,2197.83
2637,319,BR0319,Nelore,8,2024-07-01,0,292.4,1.369,9.75,225.65,2200.09
2645,320,BR0320,Brahman,10,2024-07-01,0,265.5,0.842,8.85,225.65,1997.0
471,58,BR0058,Nelore,10,2024-07-01,0,262.4,1.027,8.75,225.65,1974.44
432,54,BR0054,Brahman,3,2024-07-01,0,262.9,0.749,8.76,225.65,1976.69
2715,327,BR0327,Nelore,5,2024-07-01,0,290.0,1.238,9.67,225.65,2182.04
2705,326,BR0326,Nelore,2,2024-07-01,0,300.6,0.968,10.02,225.65,2261.01
1201,148,BR0148,Nelore,7,2024-07-01,0,293.4,1.101,9.78,225.65,2206.86
2699,325,BR0325,Cruzado Nelore,6,2024-07-01,0,328.0,1.516,10.93,225.65,2466.35
443,55,BR0055,Brahman,5,2024-07-01,0,297.0,0.973,9.9,225.65,2233.94
2691,324,BR0324,Nelore,5,2024-07-01,0,286.0,1.381,9.53,225.65,2150.44
3556,430,BR0430,Nelore,10,2024-07-01,0,312.7,0.554,10.42,225.65,2351.27
519,64,BR0064,Angus,3,2024-07-01,0,365.2,1.565,12.17,225.65,2746.16
1479,182,BR0182,Brahman,5,2024-07-01,0,265.0,0.987,8.83,225.65,1992.49
2682,323,BR0323,Brahman,4,2024-07-01,0,282.8,1.059,9.43,225.65,2127.88
453,56,BR0056,Cruzado Nelore,3,2024-07-01,0,323.9,0.599,10.8,225.65,2437.02
2668,322,BR0322,Brahman,8,2024-07-01,0,280.7,0.499,9.36,225.65,2112.08
3569,431,BR0431,Brahman,1,2024-07-01,0,292.5,0.959,9.75,225.65,2200.09
464,57,BR0057,Simental,7,2024-07-01,0,349.9,1.223,11.66,225.65,2631.08
2658,321,BR0321,Nelore,10,2024-07-01,0,304.4,0.818,10.15,225.65,2290.35
3580,432,BR0432,Brahman,7,2024-07-01,0,309.3,0.79,10.31,225.65,2326.45
1194,147,BR0147,Angus,10,2024-07-01,0,326.5,1.282,10.88,225.65,2455.07
4065,490,BR0490,Angus,8,2024-07-01,0,332.4,1.175,11.08,225.65,2500.2
3533,427,BR0427,Angus,8,2024-07-01,0,338.4,1.475,11.28,225.65,2545.33
1572,194,BR0194,Brahman,4,2024-07-01,0,300.5,0.752,10.02,225.65,2261.01
2279,276,BR0276,Simental,1,2024-07-01,0,368.9,1.396,12.3,225.65,2775.5
1909,234,BR0234,Brahman,9,2024-07-01,0,290.3,1.051,9.68,225.65,2184.29
1657,204,BR0204,Angus,1,2024-07-01,0,365.1,1.299,12.17,225.65,2746.16
1903,233,BR0233,Cruzado Nelore,5,2024-07-01,0,357.6,1.319,11.92,225.65,2689.75
3971,478,BR0478,Angus,1,2024-07-01,0,377.3,1.374,12.58,225.65,2838.68
937,115,BR0115,Nelore,4,2024-07-01,0,290.1,0.931,9.67,225.65,2182.04
1895,232,BR0232,Nelore,8,2024-07-01,0,309.8,1.116,10.33,225.65,2330.96
1085,134,BR0134,Simental,8,2024-07-01,0,320.7,1.242,10.69,225.65,2412.2
1888,231,BR0231,Angus,1,2024-07-01,0,357.6,0.996,11.92,225.65,2689.75
1882,230,BR0230,Cruzado Nelore,10,2024-07-01,0,368.3,1.207,12.28,225.65,2770.98
1662,205,BR0205,Brahman,8,2024-07-01,0,278.1,0.84,9.27,225.65,2091.78
949,116,BR0116,Simental,1,2024-07-01,0,369.1,1.509,12.3,225.65,2775.5
1870,229,BR0229,Brahman,8,2024-07-01,0,256.8,1.043,8.56,225.65,1931.56
954,117,BR0117,Angus,3,2024-07-01,0,317.2,1.338,10.57,225.65,2385.12
1862,228,BR0228,Nelore,2,2024-07-01,0,314.9,1.079,10.5,225.65,2369.33
3781,454,BR0454,Nelore,4,2024-07-01,0,318.0,1.299,10.6,225.65,2391.89
961,118,BR0118,Cruzado Nelore,8,2024-07-01,0,307.4,1.384,10.25,225.65,2312.91
1079,133,BR0133,Angus,10,2024-07-01,0,366.2,1.313,12.21,225.65,2755.19
926,114,BR0114,Nelore,10,2024-07-01,0,302.0,0.901,10.07,225.65,2272.3
1852,227,BR0227,Nelore,4,2024-07-01,0,275.5,1.091,9.18,225.65,2071.47
3826,460,BR0460,Nelore,1,2024-07-01,0,299.2,1.063,9.97,225.65,2249.73
1918,235,BR0235,Brahman,10,2024-07-01,0,287.9,0.842,9.6,225.65,2166.24
1984,242,BR0242,Nelore,6,2024-07-01,0,306.1,0.637,10.2,225.65,2301.63
3977,479,BR0479,Angus,1,2024-07-01,0,338.5,1.079,11.28,225.65,2545.33
887,109,BR0109,Nelore,10,2024-07-01,0,264.0,1.26,8.8,225.65,1985.72
1977,241,BR0241,Cruzado Nelore,7,2024-07-01,0,284.8,1.441,9.49,225.65,2141.42
1968,240,BR0240,Nelore,2,2024-07-01,0,284.9,1.177,9.5,225.65,2143.68
3757,451,BR0451,Nelore,3,2024-07-01,0,354.4,0.865,11.81,225.65,2664.93
896,110,BR0110,Nelore,5,2024-07-01,0,318.4,1.322,10.61,225.65,2394.15
1646,203,BR0203,Nelore,2,2024-07-01,0,274.8,0.82,9.16,225.65,2066.95
1957,239,BR0239,Cruzado Nelore,7,2024-07-01,0,340.6,0.662,11.35,225.65,2561.13
903,111,BR0111,Nelore,9,2024-07-01,0,300.5,1.069,10.02,225.65,2261.01
1949,238,BR0238,Cruzado Nelore,7,2024-07-01,0,321.8,1.098,10.73,225.65,2421.22
3765,452,BR0452,Nelore,3,2024-07-01,0,315.1,1.256,10.5,225.65,2369.33
1092,135,BR0135,Nelore,3,2024-07-01,0,283.1,1.2,9.44,225.65,2130.14
1936,237,BR0237,Brahman,5,2024-07-01,0,257.6,0.95,8.59,225.65,1938.33
912,112,BR0112,Nelore,7,2024-07-01,0,299.4,1.332,9.98,225.65,2251.99
1928,236,BR0236,Nelore,7,2024-07-01,0,317.3,1.026,10.58,225.65,2387.38
919,113,BR0113,Nelore,5,2024-07-01,0,315.8,1.357,10.53,225.65,2376.09
3772,453,BR0453,Nelore,6,2024-07-01,0,327.8,0.909,10.93,225.65,2466.35
968,119,BR0119,Cruzado Nelore,8,2024-07-01,0,305.0,1.235,10.17,225.65,2294.86
1842,226,BR0226,Cruzado Nelore,2,2024-07-01,0,326.3,0.708,10.88,225.65,2455.07
1834,225,BR0225,Nelore,4,2024-07-01,0,309.1,1.199,10.3,225.65,2324.2
1021,126,BR0126,Cruzado Nelore,6,2024-07-01,0,326.5,1.124,10.88,225.65,2455.07
1752,215,BR0215,Simental,2,2024-07-01,0,333.4,1.434,11.11,225.65,2506.97
3816,459,BR0459,Brahman,10,2024-07-01,0,268.6,0.847,8.95,225.65,2019.57
1745,214,BR0214,Cruzado Nelore,8,2024-07-01,0,318.1,1.077,10.6,225.65,2391.89
1029,127,BR0127,Cruzado Nelore,6,2024-07-01,0,351.2,1.163,11.71,225.65,2642.36
3804,457,BR0457,Simental,4,2024-07-01,0,346.1,1.663,11.54,225.65,2604.0
1690,208,BR0208,Cruzado Nelore,4,2024-07-01,0,331.7,1.144,11.06,225.65,2495.69
3809,458,BR0458,Angus,7,2024-07-01,0,354.3,1.193,11.81,225.65,2664.93
1036,128,BR0128,Simental,7,2024-07-01,0,354.9,1.65,11.83,225.65,2669.44
1041,129,BR0129,Cruzado Nelore,3,2024-07-01,0,363.8,1.393,12.13,225.65,2737.13
1728,213,BR0213,Brahman,2,2024-07-01,0,305.7,0.387,10.19,225.65,2299.37
3952,476,BR0476,Nelore,6,2024-07-01,0,290.9,0.979,9.7,225.65,2188.8
1720,212,BR0212,Cruzado Nelore,4,2024-07-01,0,321.3,1.175,10.71,225.65,2416.71
1047,130,BR0130,Simental,2,2024-07-01,0,358.5,1.23,11.95,225.65,2696.52
1697,209,BR0209,Simental,7,2024-07-01,0,346.1,1.13,11.54,225.65,2604.0
1713,211,BR0211,Cruzado Nelore,10,2024-07-01,0,320.7,1.292,10.69,225.65,2412.2
1053,131,BR0131,Brahman,2,2024-07-01,0,260.7,0.513,8.69,225.65,1960.9
1759,216,BR0216,Nelore,9,2024-07-01,0,303.3,0.611,10.11,225.65,2281.32
3946,475,BR0475,Angus,9,2024-07-01,0,345.6,1.213,11.52,225.65,2599.49
1014,125,BR0125,Angus,1,2024-07-01,0,320.6,1.359,10.69,225.65,2412.2
1772,217,BR0217,Nelore,4,2024-07-01,0,311.8,1.014,10.39,225.65,2344.5
3788,455,BR0455,Nelore,4,2024-07-01,0,294.9,1.159,9.83,225.65,2218.14
3961,477,BR0477,Brahman,2,2024-07-01,0,276.0,0.938,9.2,225.65,2075.98
976,120,BR0120,Nelore,9,2024-07-01,0,309.0,0.826,10.3,225.65,2324.2
1825,224,BR0224,Cruzado Nelore,10,2024-07-01,0,321.9,0.829,10.73,225.65,2421.22
1674,206,BR0206,Nelore,1,2024-07-01,0,299.1,1.059,9.97,225.65,2249.73
1816,223,BR0223,Nelore,6,2024-07-01,0,300.6,1.183,10.02,225.65,2261.01
987,121,BR0121,Simental,2,2024-07-01,0,361.6,1.29,12.05,225.65,2719.08
1810,222,BR0222,Angus,5,2024-07-01,0,371.3,1.344,12.38,225.65,2793.55
1638,202,BR0202,Angus,4,2024-07-01,0,360.0,0.896,12.0,225.65,2707.8
993,122,BR0122,Nelore,5,2024-07-01,0,310.9,0.945,10.36,225.65,2337.73
1071,132,BR0132,Nelore,7,2024-07-01,0,342.5,1.16,11.42,225.65,2576.92
1798,220,BR0220,Angus,5,2024-07-01,0,383.6,1.337,12.79,225.65,2886.06
1789,219,BR0219,Nelore,1,2024-07-01,0,278.1,1.097,9.27,225.65,2091.78
1002,123,BR0123,Simental,5,2024-07-01,0,358.1,1.358,11.94,225.65,2694.26
1682,207,BR0207,Brahman,8,2024-07-01,0,321.0,1.206,10.7,225.65,2414.46
1781,218,BR0218,Nelore,5,2024-07-01,0,317.7,1.136,10.59,225.65,2389.63
3796,456,BR0456,Nelore,9,2024-07-01,0,325.1,1.167,10.84,225.65,2446.05
1008,124,BR0124,Cruzado Nelore,5,2024-07-01,0,325.5,1.548,10.85,225.65,2448.3
1803,221,BR0221,Nelore,9,2024-07-01,0,316.9,1.135,10.56,225.65,2382.86
700,86,BR0086,Brahman,2,2024-07-01,0,320.3,0.685,10.68,225.65,2409.94
3940,474,BR0474,Angus,1,2024-07-01,0,328.6,1.265,10.95,225.65,2470.87
3751,450,BR0450,Nelore,4,2024-07-01,0,349.2,1.373,11.64,225.65,2626.57
749,92,BR0092,Nelore,3,2024-07-01,0,340.6,1.347,11.35,225.65,2561.13
3686,444,BR0444,Brahman,3,2024-07-01,0,260.1,0.684,8.67,225.65,1956.39
2193,266,BR0266,Nelore,9,2024-07-01,0,294.5,0.849,9.82,225.65,2215.88
756,93,BR0093,Nelore,9,2024-07-01,0,312.9,1.166,10.43,225.65,2353.53
2187,265,BR0265,Cruzado Nelore,1,2024-07-01,0,346.3,1.41,11.54,225.65,2604.0
1593,196,BR0196,Nelore,1,2024-07-01,0,299.6,0.642,9.99,225.65,2254.24
763,94,BR0094,Nelore,9,2024-07-01,0,306.3,1.109,10.21,225.65,2303.89
2179,264,BR0264,Cruzado Nelore,1,2024-07-01,0,346.6,0.897,11.55,225.65,2606.26
2174,263,BR0263,Simental,3,2024-07-01,0,360.4,1.41,12.01,225.65,2710.06
770,95,BR0095,Cruzado Nelore,4,2024-07-01,0,332.9,1.076,11.1,225.65,2504.72
1124,139,BR0139,Brahman,2,2024-07-01,0,305.5,0.828,10.18,225.65,2297.12
2167,262,BR0262,Nelore,6,2024-07-01,0,317.6,1.366,10.59,225.65,2389.63
777,96,BR0096,Brahman,3,2024-07-01,0,295.6,1.499,9.85,225.65,2222.65
2161,261,BR0261,Simental,6,2024-07-01,0,340.5,1.377,11.35,225.65,2561.13
2156,260,BR0260,Simental,8,2024-07-01,0,364.9,1.4,12.16,225.65,2743.9
3701,445,BR0445,Cruzado Nelore,10,2024-07-01,0,313.2,0.484,10.44,225.65,2355.79
784,97,BR0097,Brahman,5,2024-07-01,0,264.9,0.846,8.83,225.65,1992.49
2204,267,BR0267,Simental,7,2024-07-01,0,362.2,1.278,12.07,225.65,2723.6
3834,461,BR0461,Simental,5,2024-07-01,0,352.2,1.444,11.74,225.65,2649.13
1587,195,BR0195,Angus,6,2024-07-01,0,345.3,1.424,11.51,225.65,2597.23
741,91,BR0091,Nelore,5,2024-07-01,0,332.3,1.121,11.08,225.65,2500.2
3667,442,BR0442,Brahman,7,2024-07-01,0,315.5,0.841,10.52,225.65,2373.84
2271,275,BR0275,Nelore,2,2024-07-01,0,316.5,1.179,10.55,225.65,2380.61
4013,483,BR0483,Simental,7,2024-07-01,0,361.8,1.505,12.06,225.65,2721.34
2265,274,BR0274,Angus,5,2024-07-01,0,341.9,1.207,11.4,225.65,2572.41
712,87,BR0087,Nelore,2,2024-07-01,0,349.1,1.074,11.64,225.65,2626.57
2256,273,BR0273,Cruzado Nelore,7,2024-07-01,0,315.0,0.993,10.5,225.65,2369.33
719,88,BR0088,Brahman,5,2024-07-01,0,310.0,1.173,10.33,225.65,2330.96
3678,443,BR0443,Brahman,9,2024-07-01,0,286.9,1.305,9.56,225.65,2157.21
2243,272,BR0272,Brahman,8,2024-07-01,0,306.8,0.774,10.23,225.65,2308.4
1135,140,BR0140,Nelore,10,2024-07-01,0,302.1,0.864,10.07,225.65,2272.3
727,89,BR0089,Simental,8,2024-07-01,0,322.4,1.669,10.75,225.65,2425.74
3840,462,BR0462,Cruzado Nelore,10,2024-07-01,0,337.4,1.147,11.25,225.65,2538.56
2233,271,BR0271,Nelore,9,2024-07-01,0,298.8,0.85,9.96,225.65,2247.47
3932,473,BR0473,Nelore,9,2024-07-01,0,322.5,1.173,10.75,225.65,2425.74
